BRACE,38:2:17,1
CLEF TREBLE,29:2:17,1
CLEF BASS,15:5:20,1
CLEF TENOR,48:3:18,1
NOTETAIL UP EIGHTH,15:18:33,1
NOTETAIL UP SIXTEENTH,48:11:26,1
NOTETAIL UP THIRTYSECOND,15:20:35,3
NOTETAIL UP SIXTYFOURTH,48:19:34,1
NOTETAIL UP HUNDREDTWENTYEIGHTH,15:16:31,2
NOTETAIL DOWN EIGHTH,15:16:31,1
NOTETAIL DOWN SIXTEENTH,49:2:17,1
NOTETAIL DOWN THIRTYSECOND,49:14:29,1
NOTETAIL DOWN SIXTYFOURTH,49:18:33,1
NOTETAIL DOWN HUNDREDTWENTYEIGHTH,15:20:35,2
ALTER NATURAL,16:12:27,1
ALTER SHARP,31:10:25,1
ALTER FLAT,31:20:35,1
ALTER SHARPSHARP,16:12:27,3
ALTER FLATFLAT,16:12:27,2
SLUR UP,15:2:17,0
SLUR DOWN,48:2:17,0
SUSTAIN ON,15:5:20,-1
SUSTAIN OFF,16:22:37,0
ARPEGGIO,16:12:27,0
#TR,32:4:19,-58
TR_WAVE,32:4:19,0
EXPRESSIVE S,30:2:17,0
EXPRESSIVE Z,30:2:17,-2
EXPRESSIVE M,35:2:17,0
ATTACHED STACCATO,33:6:21,0
ATTACHED MORDENT,33:17:32,0
ATTACHED TURN,33:28:43,0
ATTACHED PRALL,34:5:20,0
ATTACHED FERMATA,36:4:19,0
ATTACHED STACCATISSIMO,21:31:46,0
DOT,,0
REPEAT_SIGN SEGNO,38:5:20,0
REPEAT_SIGN CODA,39:5:20,0
REPEAT_SIGN VARCODA,40:5:20,0
